title,is_productive
The curse of the monkey's paw - Iseult Gillespie,yes
How does extreme heat affect your body? - Carolyn Beans,yes
3 reasons why medications are so expensive in the US - Kiah Williams,yes
The dungeon master's riddle - Alex Rosenthal,yes
What are those colors you see when you rub your eyes? - Paul CJ Taylor,yes
The real tale of the Monkey King in Heaven - Ji Hao,yes
This mushroom will kill you before you know what’s happening - Michael Beug,yes
Greek mythology’s greatest warrior - Iseult Gillespie,yes
Are there any places on Earth with no bugs? - Charles Wallace,yes
How far can you travel without leaving your home? - Fabio Pacucci and Lindsay DeMarchi,yes
Why did it take so long to find giant squids? - Anna Rothschild,yes
"What is hysteria, and why were so many women diagnosed with it? - Mark S. Micale",yes
The birth of the galaxy in 60 seconds - Scott Hershberger,yes
What’s the best way to treat the common cold?,yes
The deadliest thing in your kitchen - George Zaidan,yes
How do animals regrow their limbs? And why can't humans do it? - Jessica Whited,yes
What does appendix pain feel like? - David R. Flum,yes
The surprising reason zebras have stripes - Cella Wright,yes
Are you more likely to explode or freeze in space? - Tejal Gala,yes
The tale of the boy who tricked a tyrant - Paschal Kyiiripuo Kyoore,yes
The tragedy of the one guy who was right about the Trojan Horse - Noah Charney,yes
Is this the most valuable thing in the ocean? - David Biello,yes
How do bulletproof vests work? - Max G. Levy,yes
Why is it so dangerous to step on a rusty nail? - Louise Thwaites,yes
What are warts — and how do you get rid of them? - Cella Wright,yes
The most dangerous elements on the periodic table - Shannon Odell,yes
Why did people wear powdered wigs? - Stephanie Honchell Smith,yes
Why is Alzheimer’s disease so difficult to treat? - Krishna Sudhir,yes
What the oil industry doesn’t want you to know - Stephanie Honchell Smith,yes
Why does hitting your funny bone feel so horrible? - Cella Wright,yes
Why are scientists shooting mushrooms into space? - Shannon Odell,yes
The weirdest (and coolest) tongues in the animal kingdom - Cella Wright,yes
The fall of the House of Cadmus - Iseult Gillespie,yes
Why fish are better at breathing than you are - Dan Kwartler,yes
What happens in your body during a miscarriage? - Nassim Assefi and Emily M. Godfrey,yes
How close are we to powering the world with nuclear fusion? - George Zaidan,yes
How do doctors determine what stage of cancer you have? - Hyunsoo Joshua No and Trudy Wu,yes
The secret behind how Chinese characters work - Gina Marie Elia,yes
What really happened to Oedipus? - Stephen Esposito,yes
Can you solve the basketball riddle? - Dan Katz,yes
These animals can hear everything - Jakob Christensen-Dalsgaard,yes
"How to love, according to Rumi - Stephanie Honchell Smith",yes
Can you transplant a head to another body? - Max G. Levy,yes
How did ancient civilizations make ice cream? - Vivian Jiang,yes
How does an air conditioner actually work? - Anna Rothschild,yes
"Why don't ""tough"" and ""dough"" rhyme? - Arika Okrent",yes
Can AI predict someone's breakup? - Thomas Hofweber,yes
What happened when these 6 dictators took over? - Stephanie Honchell Smith,yes
Scientists are obsessed with this lake - Nicola Storelli and Daniele Zanzi,yes
How could so many people support Hitler? - Joseph Lacey,yes
Why do bugs swarm over water? - Luke M. Jacobus,yes
How to increase your happiness,yes
How do gas masks actually work? - George Zaidan,yes
The rise and fall of the Maya Empire’s most powerful city - Geoffrey E. Braswell,yes
Does math have a major flaw? - Jacqueline Doan and Alex Kazachek,yes
Picture a perfect society. What does it look like? - Joseph Lacey,yes
The Nazis recruited to win the Cold War - Brian Crim,yes
How to prevent political corruption - Stephanie Honchell Smith,yes
The true story behind the legend of the 47 Rōnin - Adam Clulow,yes
"Why is ""The Scream"" screaming? - Noah Charney",yes
What is earwax — and should you get rid of it? - Henry C. Ou,yes
What Earth in 2050 could look like - Shannon Odell,yes
The Greek myth of Demeter's revenge - Iseult Gillespie,yes
The underground cities of the Byzantine Empire - Veronica Kalas,yes
"What causes addiction, and why is it so hard to treat? - Judy Grisel",yes
Why was the Rosetta Stone so important? - Franziska Naether,yes
One of the world’s oldest condiments - Dan Kwartler,yes
5 philosophers on anger - Delaney Thull,yes
How humanity got hooked on coffee - Jonathan Morris,yes
Will the real Fernando please stand up? - Ilan Stavans,yes
Can you solve the magical maze riddle? - Alex Rosenthal,yes
The warrior who defeated the mighty Mughals - Stephanie Honchell Smith,yes
When ancient wisdom beats modern industry - Rebecca Webster,yes
Why can't you put metal in a microwave? - Aaron Slepkov,yes
The Fijian myth of the greedy god - Raiana McKinney and Esther Wozniak,yes
Is Chandigarh a perfectly planned city? - Vikramāditya Prakāsh,yes
